
(110, 0.1, 88.60238647460938)
(110, 0.01, 0.017012974247336388)
(110, 0.001, 0.19275523722171783)
(120, 0.1, 366.82830810546875)
(120, 0.01, 0.009821898303925991)
(120, 0.001, 0.14472880959510803)
(130, 0.1, 87.4019546508789)
(130, 0.01, 0.08668974786996841)
(130, 0.001, 0.13952581584453583)
(140, 0.1, 1965.75927734375)
(140, 0.01, 0.01750747114419937)
(140, 0.001, 0.08436619490385056)
(150, 0.1, 199.55770874023438)
(150, 0.01, 0.03248551860451698)
(150, 0.001, 0.08779425173997879)
(160, 0.1, 612.6021118164062)
(160, 0.01, 0.7017271518707275)
(160, 0.001, 0.08981190621852875)
(170, 0.1, 150.92636108398438)
(170, 0.01, 0.26916953921318054)
(170, 0.001, 0.08167444914579391)
(180, 0.1, 353.3839416503906)
(180, 0.01, 0.011265406385064125)
(180, 0.001, 0.05232575163245201)
(190, 0.1, 8633.40234375)
(190, 0.01, 0.11269284039735794)
(190, 0.001, 0.06179671362042427)
(200, 0.1, 8979.75390625)
(200, 0.01, 0.00842407438904047)
(200, 0.001, 0.04197244346141815)
(110, 0.1, 6330.171875)
(110, 0.01, 9.017080307006836)
(110, 0.001, 0.17095184326171875)
(120, 0.1, 730.45166015625)
(120, 0.01, 0.027736911550164223)
(120, 0.001, 0.11737886071205139)
(130, 0.1, 4142.94482421875)
(130, 0.01, 0.008075506426393986)
(130, 0.001, 0.1592406928539276)
(140, 0.1, 73.57949829101562)
(140, 0.01, 0.039940014481544495)
(140, 0.001, 0.10343147069215775)
(150, 0.1, 1066.134521484375)
(150, 0.01, 0.003551976755261421)
(150, 0.001, 0.07260899990797043)
(160, 0.1, 196.91233825683594)
(160, 0.01, 0.1506991982460022)
(160, 0.001, 0.07409411668777466)
(170, 0.1, 423.8524169921875)
(170, 0.01, 0.004291853401809931)
(170, 0.001, 0.05446980148553848)
(180, 0.1, 2248.70068359375)
(180, 0.01, 0.003767480608075857)
(180, 0.001, 0.06723620742559433)
(190, 0.1, 84.68009185791016)
(190, 0.01, 0.0027258279733359814)
(190, 0.001, 0.058903105556964874)
(200, 0.1, 2807.211669921875)
(200, 0.01, 0.017422420904040337)
(200, 0.001, 0.04984155669808388)
