
(10, 1.0, 87.42057800292969)
(10, 0.1, 7.0780744552612305)
(10, 0.01, 2.8098254203796387)
(10, 0.001, 28.934064865112305)
(10, 0.0001, 85.99451446533203)
(10, 1e-05, 87.38014221191406)
(10, 1e-06, 87.49798583984375)
(10, 1e-07, 87.39800262451172)
(20, 1.0, 30847200.0)
(20, 0.1, 0.8800725340843201)
(20, 0.01, 0.5182287693023682)
(20, 0.001, 7.913202285766602)
(20, 0.0001, 80.7257080078125)
(20, 1e-05, 87.42544555664062)
(20, 1e-06, 87.3753890991211)
(20, 1e-07, 87.3083724975586)
(30, 1.0, 41553.32421875)
(30, 0.1, 4.28817892074585)
(30, 0.01, 0.18845246732234955)
(30, 0.001, 5.205160140991211)
(30, 0.0001, 73.5724868774414)
(30, 1e-05, 87.13250732421875)
(30, 1e-06, 87.43264770507812)
(30, 1e-07, 87.40232849121094)
(40, 1.0, 68751056.0)
(40, 0.1, 62.52800750732422)
(40, 0.01, 0.10074257850646973)
(40, 0.001, 2.2306313514709473)
(40, 0.0001, 65.16761779785156)
(40, 1e-05, 87.18354797363281)
(40, 1e-06, 87.49251556396484)
(40, 1e-07, 87.5107192993164)
(50, 1.0, 7841106.5)
(50, 0.1, 13.154678344726562)
(50, 0.01, 0.0585210956633091)
(50, 0.001, 0.8071086406707764)
(50, 0.0001, 63.40660095214844)
(50, 1e-05, 87.17524719238281)
(50, 1e-06, 87.33076477050781)
(50, 1e-07, 87.28229522705078)
(60, 1.0, 12028.6767578125)
(60, 0.1, 211.11634826660156)
(60, 0.01, 1.6719282865524292)
(60, 0.001, 0.6960561275482178)
(60, 0.0001, 53.57329559326172)
(60, 1e-05, 86.9251708984375)
(60, 1e-06, 87.44242095947266)
(60, 1e-07, 87.39639282226562)
(70, 1.0, 43755656.0)
(70, 0.1, 2024.395263671875)
(70, 0.01, 0.031258851289749146)
(70, 0.001, 0.47030109167099)
(70, 0.0001, 51.09973907470703)
(70, 1e-05, 86.97496795654297)
(70, 1e-06, 87.36453247070312)
(70, 1e-07, 87.39202880859375)
(80, 1.0, 24500586.0)
(80, 0.1, 70.60419464111328)
(80, 0.01, 0.07045246660709381)
(80, 0.001, 0.2706213891506195)
(80, 0.0001, 47.51900863647461)
(80, 1e-05, 86.82454681396484)
(80, 1e-06, 87.44895935058594)
(80, 1e-07, 87.43196105957031)
(90, 1.0, 5002072.5)
(90, 0.1, 1727.168212890625)
(90, 0.01, 0.01749204844236374)
(90, 0.001, 0.29504355788230896)
(90, 0.0001, 43.52979278564453)
(90, 1e-05, 86.71875762939453)
(90, 1e-06, 87.31049346923828)
(90, 1e-07, 87.5160140991211)
(100, 1.0, 14594115.0)
(100, 0.1, 663.9595336914062)
(100, 0.01, 0.0113327382132411)
(100, 0.001, 0.20178662240505219)
(100, 0.0001, 40.591026306152344)
(100, 1e-05, 86.66499328613281)
(100, 1e-06, 87.46171569824219)
(100, 1e-07, 87.40824890136719)
(110, 1.0, 24993.830078125)
(110, 0.1, 469.6530456542969)
(110, 0.01, 0.011620023287832737)
(110, 0.001, 0.19015267491340637)
(110, 0.0001, 37.45389938354492)
(110, 1e-05, 86.61674499511719)
(110, 1e-06, 87.41778564453125)
(110, 1e-07, 87.3984603881836)
(120, 1.0, 489641824.0)
(120, 0.1, 1054.330322265625)
(120, 0.01, 0.6956818103790283)
(120, 0.001, 0.11015903949737549)
(120, 0.0001, 35.50239181518555)
(120, 1e-05, 86.5594482421875)
(120, 1e-06, 87.26270294189453)
(120, 1e-07, 87.45128631591797)
(130, 1.0, 1162999.375)
(130, 0.1, 1424.69775390625)
(130, 0.01, 0.009501739405095577)
(130, 0.001, 0.11116937547922134)
(130, 0.0001, 32.217132568359375)
(130, 1e-05, 86.28616333007812)
(130, 1e-06, 87.24551391601562)
(130, 1e-07, 87.34213256835938)
(140, 1.0, 22311104.0)
(140, 0.1, 1588.377197265625)
(140, 0.01, 0.018842145800590515)
(140, 0.001, 0.08955024927854538)
(140, 0.0001, 31.16963005065918)
(140, 1e-05, 85.98409271240234)
(140, 1e-06, 87.35606384277344)
(140, 1e-07, 87.44048309326172)
(150, 1.0, 152459.75)
(150, 0.1, 397.3097229003906)
(150, 0.01, 0.004256564658135176)
(150, 0.001, 0.09570033848285675)
(150, 0.0001, 29.21634292602539)
(150, 1e-05, 85.78978729248047)
(150, 1e-06, 87.4333724975586)
(150, 1e-07, 87.43955993652344)
(160, 1.0, 229733568.0)
(160, 0.1, 5085.12255859375)
(160, 0.01, 0.003847679356113076)
(160, 0.001, 0.05972962826490402)
(160, 0.0001, 26.175535202026367)
(160, 1e-05, 85.56533813476562)
(160, 1e-06, 87.39146423339844)
(160, 1e-07, 87.36780548095703)
(170, 1.0, 12149342.0)
(170, 0.1, 47611.19921875)
(170, 0.01, 0.003030352760106325)
(170, 0.001, 0.06467117369174957)
(170, 0.0001, 25.374635696411133)
(170, 1e-05, 85.58832550048828)
(170, 1e-06, 87.34117889404297)
(170, 1e-07, 87.45457458496094)
(180, 1.0, 16139344.0)
(180, 0.1, 78.43383026123047)
(180, 0.01, 0.0037859012372791767)
(180, 0.001, 0.056691840291023254)
(180, 0.0001, 24.705223083496094)
(180, 1e-05, 85.37002563476562)
(180, 1e-06, 87.41728210449219)
(180, 1e-07, 87.37606048583984)
(190, 1.0, 6050805.0)
(190, 0.1, 2626.899658203125)
(190, 0.01, 0.8570970892906189)
(190, 0.001, 0.03182169049978256)
(190, 0.0001, 24.02436637878418)
(190, 1e-05, 85.12335205078125)
(190, 1e-06, 87.35433959960938)
(190, 1e-07, 87.3548355102539)
(200, 1.0, 43989720.0)
(200, 0.1, 20572.900390625)
(200, 0.01, 0.004539274610579014)
(200, 0.001, 0.044756755232810974)
(200, 0.0001, 23.29311752319336)
(200, 1e-05, 84.99705505371094)
(200, 1e-06, 87.26313781738281)
(200, 1e-07, 87.37413787841797)
