
(150, 0.01, 43.529412508010864)
(150, 0.005, 41.47613958120346)
(150, 0.001, 43.894652259349826)
(160, 0.01, 43.484239006042486)
(160, 0.005, 42.105976328253746)
(160, 0.001, 43.90377879142761)
(170, 0.01, 42.14979103803635)
(170, 0.005, 42.436627709865576)
(170, 0.001, 43.95821083486081)
(180, 0.01, 42.600797206163406)
(180, 0.005, 41.93350000977516)
(180, 0.001, 43.92173923850059)
(190, 0.01, 43.02441322207451)
(190, 0.005, 42.36397204399109)
(190, 0.001, 43.99140015244484)
(200, 0.01, 44.44829182028771)
(200, 0.005, 42.950447773933405)
(200, 0.001, 43.584468859434125)
(210, 0.01, 43.76717685461044)
(210, 0.005, 41.31778427362442)
(210, 0.001, 44.05904120504856)
(150, 0.01, 45.19002017378807)
(150, 0.005, 41.86133438944816)
(150, 0.001, 43.780085024237636)
(160, 0.01, 44.01234436035156)
(160, 0.005, 41.622241610288626)
(100, 0.01, 44.40944639444351)
(100, 0.005, 41.43396239876747)
(100, 0.001, 44.12602703869342)
(110, 0.01, 45.70068571567535)
(110, 0.005, 42.319149574637414)
(110, 0.001, 43.89387441873551)
(120, 0.01, 45.70449653863906)
(120, 0.005, 41.995346850156785)
(120, 0.001, 43.97884618639946)
(130, 0.01, 44.20559425354004)
(130, 0.005, 42.06432017683983)
(130, 0.001, 44.10714873075485)
(140, 0.01, 44.26116027832031)
(140, 0.005, 42.164528995752335)
(140, 0.001, 44.112921541929246)
