
(150, 0.1, 18.721669514973957)
(150, 0.01, 0.009287070347151408)
(150, 0.001, 1.6950041726231575)
(150, 0.0001, 37.736476262410484)
(160, 0.1, 22.66945457458496)
(160, 0.01, 0.03100662981159985)
(160, 0.001, 1.637050794903189)
(160, 0.0001, 37.08054860432943)
(170, 0.1, 15.800357182820639)
(170, 0.01, 0.006682549836114049)
(170, 0.001, 0.9643807951360941)
(170, 0.0001, 34.62623532613119)
(180, 0.1, 20.74275016784668)
(180, 0.01, 0.01993080461397767)
(180, 0.001, 1.3984995541783671)
(180, 0.0001, 32.25993951161703)
(190, 0.1, 18.72491963704427)
(190, 0.01, 0.0021433098008856177)
(190, 0.001, 0.6579309658457836)
(190, 0.0001, 33.256726582845054)
(200, 0.1, 26.694451649983723)
(200, 0.01, 2.5635235778948604)
(200, 0.001, 0.7453939486294985)
(200, 0.0001, 31.6246763865153)
(210, 0.1, 26.598902384440105)
(210, 0.01, 0.0050836036292215185)
(210, 0.001, 1.0440403455868363)
(210, 0.0001, 30.34410572052002)
