(20.732780398925147, 20, 0.01, 4)
(20.902482873201368, 40, 0.01, 4)
(21.14145178794861, 60, 0.01, 4)
(19.979256151119866, 80, 0.01, 4)
(17.5842810968558, 100, 0.01, 4)
(21.419636829694113, 20, 0.01, 5)
(23.967856136957806, 40, 0.01, 5)
(20.74497899611791, 60, 0.01, 5)
(22.86620743572712, 80, 0.01, 5)
(26.936157396435735, 100, 0.01, 5)
(44.530247586965565, 20, 0.01, 6)
(30.919330616792042, 40, 0.01, 6)
(34.10300871332486, 60, 0.01, 6)
(36.37379906574885, 80, 0.01, 6)
(31.949828918774923, 100, 0.01, 6)
(6.718210005760193, 20, 0.01, 4)
(4.059753501415253, 40, 0.01, 4)
(4.132053291797638, 60, 0.01, 4)
(4.1905009865760805, 80, 0.01, 4)
(5.488397121429443, 100, 0.01, 4)
