
(50, 0.5, 2548.6807876586918)
(50, 0.01, 24.271427565813063)
(50, 0.005, 22.576557826995852)
(50, 0.001, 41.24575276374817)
(50, 0.0005, 53.507082486152655)
(60, 0.5, 3399.451121520996)
(60, 0.01, 24.559194749593736)
(60, 0.005, 22.00202507376671)
(60, 0.001, 41.16324968338013)
(60, 0.0005, 52.85228931903839)
(70, 0.5, 2525.2410552978517)
(70, 0.01, 22.426410698890685)
(70, 0.005, 22.872363036870958)
(70, 0.001, 39.50136264562607)
(70, 0.0005, 52.755965280532834)
(80, 0.5, 4965.2965438842775)
(80, 0.01, 23.40521309673786)
(80, 0.005, 24.22403267621994)
(80, 0.001, 40.598612141609195)
(80, 0.0005, 52.877712678909305)
(90, 0.5, 3833.9142059326173)
(90, 0.01, 21.751305159926414)
(90, 0.005, 22.534238886833194)
(90, 0.001, 40.15907642841339)
(90, 0.0005, 52.882725632190706)
(100, 0.5, 2532.4791732788085)
(100, 0.01, 23.28486548066139)
(100, 0.005, 21.87485989332199)
(100, 0.001, 41.44756646156311)
(100, 0.0005, 53.22983697652817)
(110, 0.5, 2957.2569595336913)
(110, 0.01, 22.226182025671005)
(110, 0.005, 21.896297955513)
(110, 0.001, 42.01231236457825)
(110, 0.0005, 52.88467803001404)
(120, 0.5, 2539.625050354004)
(120, 0.01, 23.245283660292625)
(120, 0.005, 22.548066473007204)
(120, 0.001, 38.28388750553131)
(120, 0.0005, 53.071286821365355)
(130, 0.5, 3397.9464996337892)
(130, 0.01, 21.552932733297347)
(130, 0.005, 23.25506793260574)
(130, 0.001, 40.03889646530151)
(130, 0.0005, 52.15049502849578)
(140, 0.5, 2271.026866149902)
(140, 0.01, 23.169467520713805)
(140, 0.005, 22.96125982403755)
(140, 0.001, 41.02998886108398)
(140, 0.0005, 52.84130644798279)
(150, 0.5, 5852.113243103027)
(150, 0.01, 23.806449782848357)
(150, 0.005, 22.249108105897903)
(150, 0.001, 42.04637675285339)
(150, 0.0005, 53.2060666680336)
(160, 0.5, 5397.206205749511)
(160, 0.01, 21.753427532315257)
(160, 0.005, 21.562789088487627)
(160, 0.001, 39.48362922668457)
(160, 0.0005, 53.66585829257965)
(170, 0.5, 3057.3108810424806)
(170, 0.01, 21.279028195142747)
(170, 0.005, 23.125052773952483)
(170, 0.001, 41.83799495697021)
(170, 0.0005, 52.77147016525269)
(180, 0.5, 2409.876574707031)
(180, 0.01, 24.987773805856705)
(180, 0.005, 25.65364352464676)
(180, 0.001, 40.80619339942932)
(180, 0.0005, 53.14963600635529)
(190, 0.5, 2127.4254196166994)
(190, 0.01, 21.748305851221083)
(190, 0.005, 23.420100605487825)
(190, 0.001, 40.07300832271576)
(190, 0.0005, 52.931242644786835)
(200, 0.5, 8517.103051757813)
(200, 0.01, 22.445275294780732)
(200, 0.005, 21.048428773880005)
(200, 0.001, 42.24512391090393)
(200, 0.0005, 53.28607932329177)
(50, 0.05, 54.548877680301665)
(60, 0.05, 51.19680690765381)
(70, 0.05, 52.28768718242645)
(80, 0.05, 49.92661496400833)
(90, 0.05, 45.87263288497925)
(100, 0.05, 50.868010342121124)
(110, 0.05, 52.02569720745087)
(120, 0.05, 48.85515487194061)
(130, 0.05, 48.31603608131408)
(140, 0.05, 51.43474309444427)
(150, 0.05, 53.90595409870147)
(160, 0.05, 51.47262415885925)
(170, 0.05, 52.960242366790766)
(180, 0.05, 46.989854502677915)
(190, 0.05, 44.56041033267975)
(200, 0.05, 48.96509342193603)
(210, 0.01, 22.63987906575203)
(210, 0.005, 21.60343286395073)
(220, 0.01, 23.66147025823593)
(220, 0.005, 24.825919651985167)
(200, 0.01, 20.47097780704498)
(200, 0.005, 23.94708992242813)
(170, 0.01, 23.42933927178383)
(170, 0.005, 23.29105243086815)
(20, 0.01, 20.160946118831635)
(20, 0.005, 24.027309727668765)
(30, 0.01, 21.147670143842696)
(30, 0.005, 23.62995047569275)
(40, 0.01, 23.745299863815305)
(40, 0.005, 20.140883281826973)
(10, 0.01, 23.54472567439079)
(10, 0.005, 21.864096945524217)
(10, 0.01, 23.554654550552367)
(10, 0.005, 22.116148924827577)
(15, 0.01, 23.024816155433655)
(15, 0.005, 19.407442009449007)
(20, 0.01, 19.510879254341127)
(20, 0.005, 21.259882640838622)
(25, 0.01, 21.886868119239807)
(25, 0.005, 21.848937582969665)
(30, 0.01, 25.159703016281128)
(30, 0.005, 22.282926392555236)
(35, 0.01, 24.69674516916275)
(35, 0.005, 21.917339766025542)
(40, 0.01, 20.764140725135803)
(40, 0.005, 24.217217540740968)
(45, 0.01, 22.950293564796446)
(45, 0.005, 22.330941927433013)
(10, 0.05, 49.633249282836914)
(15, 0.05, 57.76859607696533)
(20, 0.05, 51.76069784164429)
(25, 0.05, 46.723676443099976)
(30, 0.05, 56.65664465427399)
(35, 0.05, 52.496970129013064)
(40, 0.05, 57.64624915122986)
(45, 0.05, 54.680308723449706)
(10, 0.005, 23.999217796325684)
(15, 0.005, 24.231247413158417)
(20, 0.005, 23.2564560174942)
(25, 0.005, 22.959566676616667)
(30, 0.005, 25.410476541519166)
(35, 0.005, 26.868968546390533)
(40, 0.005, 20.994735455513002)
(45, 0.005, 22.1003849029541)
(10, 0.001, 44.30820426940918)
(15, 0.001, 41.276265907287595)
(20, 0.001, 39.82650423049927)
(25, 0.001, 40.866676688194275)
(30, 0.001, 42.08116345405578)
(35, 0.001, 42.57829051017761)
(40, 0.001, 44.190525102615354)
(45, 0.001, 39.02752261161804)
