
(20, 0.01, 31.42297819852829, 2)
(40, 0.01, 31.472383403778075, 2)
(60, 0.01, 32.96532402634621, 2)
(80, 0.01, 29.64913628101349, 2)
(100, 0.01, 32.37135379314422, 2)
(20, 0.01, 22.045971822738647, 3)
(40, 0.01, 22.792129278182983, 3)
(60, 0.01, 23.65788106918335, 3)
(80, 0.01, 25.840627467632295, 3)
(100, 0.01, 25.606754660606384, 3)
(20, 0.01, 22.74083333015442, 4)
(40, 0.01, 17.219360840320586, 4)
(60, 0.01, 23.49759010076523, 4)
(80, 0.01, 19.50310946702957, 4)
(100, 0.01, 14.968461570143699, 4)
(20, 0.01, 19.164503717422484, 5)
(40, 0.01, 22.188396978378297, 5)
(60, 0.01, 20.667920064926147, 5)
(80, 0.01, 19.834193485975266, 5)
(100, 0.01, 17.947146713733673, 5)
(20, 0.01, 18.853082629044852, 4)
(40, 0.01, 21.227980925639468, 4)
(60, 0.01, 20.980166471004484, 4)
(80, 0.01, 20.77335230112076, 4)
(100, 0.01, 19.1292516708374, 4)
(20, 0.01, 25.383782850702605, 5)
(40, 0.01, 20.862270164489747, 5)
(60, 0.01, 19.985321138302485, 5)
(80, 0.01, 20.971685032049816, 5)
(100, 0.01, 20.60817798773448, 5)
(20, 0.01, 40.23547637661298, 6)
(40, 0.01, 31.288883405923844, 6)
(60, 0.01, 36.77901783982912, 6)
(80, 0.01, 34.46380223929882, 6)
(100, 0.01, 39.30090421040853, 6)
