
(9.558466672897339, 256, 0.1, 2)
(9.535407638549804, 256, 0.1, 4)
(9.378219413757325, 256, 0.1, 8)
(9.78956995010376, 256, 0.1, 16)
(9.901682567596435, 256, 0.1, 32)
(6.137446618080139, 256, 0.01, 2)
(6.16328456401825, 256, 0.01, 4)
(6.365295791625977, 256, 0.01, 8)
(7.1337744235992435, 256, 0.01, 16)
(7.8496698379516605, 256, 0.01, 32)
(5.123549199104309, 256, 0.001, 2)
(5.696227955818176, 256, 0.001, 4)
(5.543154835700989, 256, 0.001, 8)
(4.973636245727539, 256, 0.001, 16)
(6.472907996177673, 256, 0.001, 32)
(4.836787223815918, 256, 0.0001, 2)
(4.651680445671081, 256, 0.0001, 4)
(5.0070817232131954, 256, 0.0001, 8)
(5.11022458076477, 256, 0.0001, 16)
(4.294048380851746, 256, 0.0001, 32)
(5.836503005027771, 256, 1e-05, 2)
(4.562281966209412, 256, 1e-05, 4)
(4.910106635093689, 256, 1e-05, 8)
(6.067906427383423, 256, 1e-05, 16)
(7.142319583892823, 256, 1e-05, 32)
